RA,Dec,pop,U,err_U,Z,err_Z,F378,err_F378,F395,err_F395,F410,err_F410,F430,err_F430,F515,err_F515,F660,err_F660,F861,err_F861,G,err_G,I,err_I,R,err_R,pmra,e_pmra,pmdec,e_pmdec,g,bp,rp,par,e_par,r
13.09641,-26.60043,1.0,18.246000000000002,0.08,16.782000000000004,0.032,18.445999999999998,0.075,18.633,0.098,18.802,0.062,18.679,0.058,18.026,0.026,17.338,0.012,17.0,0.025,18.248,0.015,17.045,0.017,17.509999999999998,0.014,4.127118,0.107459,-5.789913,0.104066,17.765009,18.164312,17.229097,-0.053766,0.121189,303.23372
13.18976,-26.59129,1.0,17.549999999999997,0.051,15.943,0.023,17.812,0.037,18.027,0.063,17.924999999999997,0.049,18.014,0.044,17.256,0.021,16.508,0.016,16.166999999999998,0.019,17.467,0.018,16.255,0.02,16.679,0.015,4.140937,0.064774,-5.588804,0.072143,16.933628,17.28664,16.344645,-0.006879,0.070086,31.693108
13.35833,-26.58613,0.0,17.266,0.03,15.534,0.023,17.432,0.029,17.632,0.05,17.602,0.029,17.528,0.029,16.833,0.015,16.081,0.008,15.643999999999998,0.014,17.031,0.01,15.778000000000002,0.013,16.248,0.012,4.259456,0.057644,-5.595987,0.064546,16.510532,16.912882,15.939892,0.046524,0.06323,547.048206
13.11621,-26.58154,1.0,17.948,0.048,16.338,0.025,18.038,0.047,18.328,0.081,18.287,0.046,18.282,0.041,17.615,0.022,16.863,0.01,16.479,0.018,17.828,0.015,16.571,0.017,17.041999999999998,0.013,4.111185,0.082354,-5.508152,0.084357,17.317432,17.715605,16.758583,0.084347,0.093321,232.498297
13.13868,-26.58217,0.0,18.442,0.057,16.866999999999997,0.028,18.691,0.077,18.715,0.107,18.865,0.075,18.798000000000002,0.074,18.160999999999998,0.036,17.428,0.015,17.011,0.026,18.307,0.02,17.139,0.022,17.561,0.018,4.054588,0.104946,-5.558744,0.114976,17.83202,18.222221,17.301481,0.076458,0.121944,160.301084
13.16268,-26.57707,0.0,17.787999999999997,0.046,16.305,0.033,18.023,0.056,18.183,0.08,18.244,0.045,18.147,0.054,17.566,0.027,16.811,0.015,16.442999999999998,0.021,17.744,0.023,16.51,0.042,17.0,0.029,4.442233,0.092959,-5.358221,0.103376,17.331797,17.63766,16.683207,0.010337,0.110426,85.368404
13.29635,-26.57031,0.0,17.839999999999996,0.052,16.235,0.028,18.123,0.05,18.146,0.083,18.233999999999998,0.068,18.084,0.049,17.438,0.023,16.771,0.011,16.398,0.024,17.687,0.014,16.482,0.015,16.923,0.016,4.119685,0.081537,-5.640114,0.088401,17.18889,17.593111,16.640213,0.208903,0.093046,350.221369
13.18582,-26.56819,1.0,17.82,0.047,16.344,0.036,18.038,0.053,18.261,0.072,18.313,0.039,18.348,0.054,17.605,0.026,16.878,0.013,16.463,0.024,17.739,0.018,16.553,0.028,17.011,0.026,4.288475,0.151802,-4.796633,0.169366,17.579525,17.629976,16.738924,0.183367,0.164931,52.505361
13.19508,-26.56376,1.0,17.311999999999998,0.038,15.979999999999999,0.058,17.579,0.043,17.824,0.064,17.807,0.042,17.796,0.039,17.141,0.05,16.457,0.033,16.134999999999998,0.043,17.409,0.051,16.216,0.07,16.683,0.066,4.236372,0.08768,-5.496442,0.105443,17.192583,17.323126,16.412167,0.162522,0.093826,71.031967
13.13512,-26.5657,0.0,17.316000000000003,0.033,15.626,0.02,17.584,0.035,17.686,0.051,17.673,0.026,17.611,0.032,16.926,0.015,16.172,0.009,15.738,0.018,17.137,0.01,15.878,0.015,16.343,0.015,4.124276,0.060851,-5.65487,0.062834,16.605068,17.004396,16.027233,0.148704,0.063633,182.13276
13.16622,-26.5589,0.0,17.991,0.052,16.383000000000003,0.018,18.249,0.063,18.272000000000002,0.073,18.329,0.05,18.413,0.056,17.683,0.025,17.027,0.012,16.581,0.025,17.875,0.02,16.699,0.018,17.168,0.016,4.165784,0.087253,-5.626881,0.095555,17.462042,17.778898,16.847944,0.258534,0.096302,111.491713
13.24003,-26.55762,0.0,16.317999999999998,0.013,14.161,0.025,16.468,0.016,16.62,0.021,16.532999999999998,0.014,16.403,0.014,15.602999999999998,0.009,14.754999999999999,0.005,14.318999999999999,0.01,15.838000000000001,0.01,14.45,0.015,14.937999999999999,0.012,4.210081,0.031933,-5.795813,0.033705,15.224708,15.682403,14.594673,0.135333,0.032987,188.841471
13.2407,-26.55648,0.0,16.188000000000002,0.015,14.19,0.03,16.442,0.02,16.543,0.025,16.499,0.017,16.4,0.012,15.614999999999998,0.013,14.785999999999998,0.008,14.361,0.021,15.826999999999998,0.017,14.474,0.026,14.966000000000001,0.024,4.119187,0.068299,-5.662678,0.07281,15.334081,15.691195,14.633406,0.039542,0.068742,192.797832
13.28303,-26.55411,1.0,17.781,0.043,16.225,0.026,17.964,0.043,18.159,0.076,18.174999999999997,0.047,18.161,0.041,17.488,0.023,16.761,0.01,16.358,0.019,17.683,0.013,16.467000000000002,0.014,16.926,0.009,3.548561,0.087446,-5.910515,0.094982,17.207724,17.588593,16.632357,0.145012,0.111143,321.470676
13.25761,-26.55322,0.0,17.366,0.027,15.723999999999998,0.023,17.598,0.03,17.649,0.048,17.785999999999998,0.028,17.623,0.027,17.03,0.016,16.262999999999998,0.008,15.881,0.014,17.209,0.013,15.989,0.013,16.423,0.014,4.04874,0.063604,-5.843445,0.0672,16.729216,17.109892,16.149685,0.208482,0.070425,246.38216
13.13685,-26.54988,0.0,18.272,0.069,16.840000000000003,0.031,18.742,0.073,18.679000000000002,0.106,18.749,0.083,18.726,0.051,18.111,0.034,17.349999999999998,0.014,16.956,0.027,18.273,0.02,17.044,0.015,17.489,0.017,4.185707,0.102976,-5.557965,0.108929,17.777794,18.15114,17.23326,-0.129026,0.116303,203.527515
13.1459,-26.55003,0.0,17.948,0.045,16.441000000000003,0.027,18.136,0.054,18.312,0.074,18.340999999999998,0.058,18.262,0.056,17.709,0.033,16.942999999999998,0.011,16.547,0.018,17.837,0.016,16.653000000000002,0.017,17.098,0.019,4.167723,0.084352,-5.728656,0.086487,17.387474,17.753845,16.832924,0.101002,0.091347,180.257902
13.19273,-26.54901,1.0,17.68,0.043,16.082,0.024,17.918,0.048,18.247,0.072,18.115,0.044,18.089,0.041,17.363,0.017,16.652,0.01,16.282,0.022,17.586,0.017,16.354,0.021,16.805,0.019,4.135005,0.085922,-5.903427,0.089338,17.151398,17.506514,16.551542,0.14601,0.087816,121.790758
13.1864,-26.5462,1.0,17.176000000000002,0.03,15.537,0.024,17.39,0.035,17.656,0.045,17.567999999999998,0.025,17.523,0.024,16.863,0.013,16.078,0.008,15.710999999999999,0.016,17.056,0.011,15.793,0.021,16.235,0.016,4.099927,0.066566,-5.679139,0.073353,16.575104,16.93348,15.952473,0.246436,0.073464,131.27823
13.36077,-26.5451,1.0,16.976,0.019,15.200000000000001,0.025,17.115,0.022,17.343,0.04,17.348,0.024,17.275,0.022,16.527,0.012,15.782999999999998,0.005,15.341999999999999,0.012,16.762999999999998,0.013,15.458000000000002,0.015,15.934000000000001,0.01,4.18574,0.051092,-5.776391,0.055527,16.202848,16.628002,15.614281,0.065854,0.056144,571.045886
13.23457,-26.53146,1.0,17.366999999999997,0.03,15.680000000000001,0.025,17.480999999999998,0.028,17.789,0.062,17.744,0.036,17.705000000000002,0.032,16.974,0.015,16.218999999999998,0.009,15.823,0.013,17.189,0.015,15.933,0.016,16.384999999999998,0.01,4.161048,0.0602,-5.559939,0.063605,16.660105,17.062899,16.086515,0.153763,0.061543,236.519667
13.07692,-26.53278,0.0,16.662,0.017,14.764999999999999,0.023,16.895,0.022,17.034,0.034,16.976,0.023,16.856,0.015,16.142,0.011,15.332999999999998,0.005,14.896,0.012,16.352,0.009,15.029,0.014,15.498000000000001,0.01,4.094731,0.037458,-5.729148,0.03715,15.773644,16.206524,15.169218,0.084407,0.03725,401.3809
13.18688,-26.53124,0.0,17.897,0.053,16.155,0.031,18.192999999999998,0.046,18.377,0.091,18.343,0.053,18.434,0.044,17.509999999999998,0.021,16.695999999999998,0.007,16.297,0.017,17.704,0.018,16.418,0.019,16.843,0.013,4.129982,0.0796,-5.665206,0.080927,17.130798,17.55307,16.57461,0.141219,0.080856,184.99966
13.194,-26.53123,1.0,16.011000000000003,0.013,13.860000000000001,0.026,16.166999999999998,0.015,16.397000000000002,0.02,16.282,0.012,16.183,0.01,15.337,0.007,14.468,0.005,14.001000000000001,0.012,15.567,0.008,14.133,0.013,14.646999999999998,0.012,4.099823,0.027399,-5.712331,0.029224,14.927263,15.39574,14.281655,0.093838,0.02861,185.854305
13.2469,-26.52967,0.0,18.042,0.061,16.603,0.027,18.274,0.06,18.595,0.095,18.627,0.063,18.414,0.054,17.828,0.028,17.108999999999998,0.015,16.732,0.02,18.011,0.02,16.825,0.015,17.275,0.013,4.040101,0.0933,-5.533719,0.100423,17.537706,17.926514,17.00549,-0.215629,0.104146,267.741221
13.23871,-26.46525,0.0,17.807000000000002,0.046,16.189,0.026,18.011,0.05,18.162,0.076,18.142999999999997,0.048,18.06,0.037,17.480999999999998,0.023,16.714,0.011,16.328,0.022,17.631,0.014,16.434,0.016,16.872,0.014,4.242347,0.076822,-5.659203,0.079718,17.143335,17.533775,16.58286,0.130907,0.077367,452.54563
13.27277,-26.46372,1.0,17.839,0.049,16.249000000000002,0.036,17.916999999999998,0.061,18.174,0.082,18.241,0.042,18.142,0.038,17.512999999999998,0.023,16.768,0.009,16.345,0.014,17.689,0.018,16.479,0.016,16.916,0.015,4.307038,0.080478,-5.37817,0.10227,17.19767,17.59289,16.640999,0.114699,0.087352,506.898615
13.23511,-26.44777,0.0,17.895000000000003,0.053,16.436999999999998,0.037,18.146,0.056,18.35,0.08,18.38,0.042,18.3,0.046,17.621,0.026,16.955,0.009,16.511,0.019,17.852999999999998,0.016,16.654,0.014,17.086,0.013,4.225769,0.088549,-5.592839,0.114376,17.36354,17.758806,16.81541,0.016889,0.091827,508.107602
13.08877,-26.77105,1.0,16.494999999999997,0.018,14.569,0.02,16.658,0.023,16.915,0.026,16.836,0.017,16.78,0.014,15.989,0.01,15.149999999999999,0.006,14.713000000000001,0.011,16.2,0.007,14.845000000000002,0.011,15.341000000000001,0.011,4.210489,0.036697,-5.703389,0.034761,15.611159,16.059986,15.002079,0.033106,0.038137,750.310481
13.2167,-26.72225,0.0,18.342999999999996,0.077,16.679000000000002,0.029,18.377,0.057,18.476,0.097,18.602999999999998,0.053,18.544,0.059,17.933,0.029,17.181,0.012,16.816,0.022,18.139,0.019,16.921,0.02,17.368,0.014,4.296701,0.110847,-5.706538,0.113711,17.65038,18.067835,17.08874,0.117484,0.1311,510.879587
13.21305,-26.72062,1.0,18.414,0.082,16.887999999999998,0.028,18.569,0.071,18.741,0.103,18.794,0.056,18.79,0.068,18.084,0.022,17.422,0.014,17.027,0.03,18.329,0.02,17.137,0.017,17.579,0.012,4.076568,0.132165,-5.906598,0.124131,17.845541,18.251053,17.326836,0.108009,0.145269,503.11379
13.09851,-26.7103,0.0,17.311,0.029,15.659,0.023,17.585,0.034,17.726,0.055,17.66,0.022,17.629,0.029,16.948,0.015,16.217,0.009,15.791999999999998,0.015,17.181,0.012,15.911000000000001,0.013,16.379,0.015,4.121153,0.057513,-5.70493,0.055946,16.647987,17.043655,16.076088,0.037591,0.063651,543.158076
13.24104,-26.67812,0.0,17.095,0.02,15.392000000000001,0.02,17.368,0.036,17.587,0.052,17.485,0.029,17.439,0.023,16.703,0.016,15.942,0.008,15.54,0.017,16.929,0.012,15.652000000000001,0.013,16.114,0.009,4.07847,0.050565,-5.741834,0.058974,16.381178,16.793465,15.796971,0.143313,0.063209,383.221478
13.12259,-26.67499,1.0,18.302999999999997,0.059,16.884,0.027,18.656,0.079,19.031,0.14,18.852,0.078,18.781,0.054,18.099,0.04,17.416999999999998,0.015,17.063,0.03,18.32,0.017,17.159000000000002,0.017,17.570999999999998,0.014,4.097718,0.113459,-5.903104,0.122644,17.859129,18.230217,17.338127,0.327918,0.135211,394.426946
13.1549,-26.6619,0.0,18.284999999999997,0.087,16.887,0.029,18.627,0.074,18.887,0.137,18.919999999999998,0.086,18.64,0.06,18.148,0.03,17.404999999999998,0.014,17.005,0.02,18.299,0.021,17.121000000000002,0.018,17.554,0.012,4.129556,0.105798,-5.802923,0.116013,17.826387,18.235771,17.277758,0.057105,0.126249,305.451002
13.17411,-26.66137,0.0,17.395000000000003,0.037,15.813,0.022,17.679,0.035,17.791,0.054,17.839,0.032,17.727,0.029,17.104,0.016,16.358,0.008,15.95,0.019,17.311,0.012,16.080000000000002,0.017,16.511,0.01,4.135834,0.065889,-5.656009,0.065872,16.7833,17.179043,16.216993,0.06331,0.068745,287.34737
13.10619,-26.66324,0.0,16.262999999999998,0.012,14.139000000000001,0.023,16.442,0.014,16.574,0.02,16.506999999999998,0.018,16.355,0.009,15.585999999999999,0.008,14.729,0.005,14.285,0.012,15.809999999999999,0.009,14.407,0.008,14.918,0.014,4.135645,0.028484,-5.758587,0.028287,15.192414,15.65122,14.561139,0.052052,0.031772,392.843697
13.23188,-26.66293,1.0,17.860999999999997,0.044,16.333,0.027,17.953,0.046,18.352,0.086,18.355,0.049,18.375,0.046,17.626,0.021,16.862,0.01,16.473,0.014,17.806,0.012,16.598,0.015,17.04,0.011,4.064539,0.099695,-5.690516,0.110929,17.308823,17.720083,16.75556,-0.11259,0.123231,321.151228
13.20562,-26.65837,0.0,17.496000000000002,0.035,15.944,0.022,17.842,0.046,17.888,0.053,17.945,0.034,17.878,0.033,17.227,0.015,16.48,0.011,16.067999999999998,0.013,17.416,0.014,16.184,0.012,16.645,0.012,4.033482,0.067828,-5.811013,0.077709,16.911896,17.309679,16.35169,0.069548,0.109,278.342501
13.13344,-26.65556,1.0,16.987000000000002,0.023,15.220999999999998,0.022,17.187,0.032,17.385,0.048,17.355,0.023,17.299,0.029,16.573999999999998,0.01,15.768999999999998,0.008,15.367,0.013,16.782999999999998,0.009,15.474,0.012,15.960999999999999,0.01,4.187134,0.046666,-5.586811,0.051907,16.225956,16.644789,15.633147,0.076305,0.05326,316.769841
13.2494,-26.65454,1.0,17.711,0.041,16.127000000000002,0.024,17.895,0.042,18.222,0.076,18.163,0.052,18.014,0.036,17.373,0.02,16.678,0.011,16.247,0.017,17.570999999999998,0.014,16.368000000000002,0.014,16.826,0.013,4.036264,0.074449,-5.756884,0.082085,17.091002,17.484982,16.528961,0.033271,0.090414,324.888392
13.18153,-26.65333,1.0,17.137,0.026,15.436000000000002,0.019,17.32,0.028,17.544,0.034,17.546,0.026,17.503,0.027,16.77,0.013,15.982,0.008,15.588000000000001,0.016,16.955,0.01,15.688000000000002,0.011,16.151,0.009,4.327813,0.056106,-5.552417,0.059993,16.421803,16.843334,15.838038,0.266242,0.064775,255.589289
13.1966,-26.65034,0.0,17.661,0.038,15.991000000000001,0.02,17.861,0.034,18.021,0.058,17.988,0.044,17.939,0.039,17.285,0.016,16.531,0.009,16.099999999999998,0.012,17.480999999999998,0.01,16.254,0.012,16.703,0.009,4.068735,0.069508,-5.833482,0.079054,16.97577,17.381664,16.409647,0.134448,0.085445,245.211645
13.27876,-26.64993,0.0,18.316000000000003,0.073,16.889000000000003,0.025,18.597,0.074,18.662,0.1,18.784,0.072,18.69,0.062,18.123,0.037,17.397,0.017,16.979,0.031,18.294,0.025,17.114,0.018,17.581,0.017,4.310461,0.110124,-5.680287,0.124707,17.83383,18.211014,17.30478,-0.100888,0.136227,378.408975
13.27236,-26.64761,0.0,17.841,0.041,16.264000000000003,0.021,18.098,0.049,18.202,0.071,18.282,0.05,18.105,0.042,17.509999999999998,0.016,16.798,0.012,16.38,0.018,17.724,0.017,16.522000000000002,0.015,16.968,0.014,4.215501,0.079114,-5.74229,0.090606,17.224358,17.620628,16.67172,0.049577,0.097586,357.3292
13.17814,-26.64602,0.0,17.275,0.038,15.610999999999999,0.022,17.429,0.039,17.559,0.051,17.645,0.03,17.528,0.034,16.898,0.023,16.141,0.011,15.753,0.015,17.094,0.019,15.870000000000001,0.022,16.313,0.022,4.112494,0.054861,-5.678259,0.061667,16.629229,17.002163,16.029028,0.05322,0.063086,230.584848
13.19411,-26.64248,1.0,18.214999999999996,0.08,16.753999999999998,0.03,18.358,0.078,18.757,0.109,18.688,0.071,18.688,0.074,18.022,0.024,17.302,0.016,16.912,0.022,18.203,0.019,17.006,0.02,17.447,0.012,4.229869,0.109582,-5.541331,0.146975,17.713404,18.112854,17.173223,0.020095,0.135726,216.168815
13.16657,-26.64174,0.0,17.656999999999996,0.046,16.037,0.02,17.869,0.045,18.093,0.064,18.16,0.037,17.993,0.026,17.366,0.021,16.563,0.01,16.198999999999998,0.021,17.549,0.012,16.283,0.014,16.752,0.011,4.208301,0.067906,-5.543621,0.075655,17.031885,17.425999,16.453444,0.195856,0.07872,224.160857
