RA,Dec,pop,pmra,e_pmra,pmdec,e_pmdec,g,bp,rp,par,e_par,r,U,F378,F395,F410,F430,G,F515,R,F660,I,F861,Z,err_U,err_Z,err_F378,err_F395,err_F410,err_F430,err_F515,err_F660,err_F861,err_G,err_I,err_R
154.456398,-46.395425,0.0,8.313915,0.065239,-2.384319,0.066779,16.539206,16.998384,15.707119,0.106869,0.066849,145.136966,16.67684,16.73032,16.736904,16.970453,16.794383,16.305367,16.007196,15.379839,15.186102,14.828394,14.608744,14.511091,0.035,0.037,0.042,0.046,0.049,0.048,0.035,0.022,0.031,0.02,0.058,0.032
154.463646,-46.397089,1.0,8.713143,0.026696,-2.05853,0.027065,15.400282,16.0045,14.607642,0.197497,0.028286,159.441392,15.701303,15.700798,15.81157,15.903442,15.88373,15.277415,14.956851,14.29969,14.076516,13.764851,13.477145,13.382611,0.019,0.024,0.03,0.032,0.033,0.047,0.034,0.019,0.028,0.015,0.046,0.031
154.461102,-46.400163,0.0,8.297946,0.020892,-1.887203,0.021017,14.913434,15.538882,14.124589,0.142157,0.021736,149.893964,15.367303,15.356798,15.39057,15.513442,15.46073,14.827415,14.500851,13.84469,13.575516,13.262851,12.993145,12.874611,0.02,0.025,0.024,0.026,0.04,0.045,0.031,0.017,0.028,0.014,0.055,0.03
154.457185,-46.395993,0.0,8.168137,0.040372,-1.819793,0.039642,15.822261,16.386503,15.046532,0.179495,0.041862,146.066403,16.051303,16.086798,16.14757,16.234442,16.17273,15.669415,15.351851,14.72369,14.519516,14.180851,13.947145,13.852611,0.027,0.025,0.033,0.041,0.038,0.049,0.03,0.019,0.026,0.016,0.055,0.025
154.459605,-46.395689,0.0,8.357971,0.032825,-1.7887,0.03253,15.953649,16.52121,15.182433,0.178929,0.033535,152.007061,16.117303,16.222798,16.27657,16.365442,16.29373,15.767415,15.450851,14.87069,14.644516,14.265851,14.005145,13.965611,0.024,0.03,0.033,0.041,0.04,0.052,0.029,0.021,0.026,0.021,0.054,0.028
154.454552,-46.387567,1.0,8.401357,0.046775,-2.221272,0.046708,16.64267,17.192585,15.910179,0.17938,0.049328,155.4192,16.784303,16.713798,16.73257,16.929442,16.89173,16.425415,16.157851,15.55369,15.316516,15.076851,14.796145,14.696611,0.034,0.034,0.041,0.047,0.041,0.048,0.038,0.023,0.037,0.02,0.063,0.032
154.46191,-46.39288,0.0,8.723123,0.060476,-2.06784,0.059133,16.607248,17.146858,15.823556,0.378676,0.067828,161.433783,16.689303,16.805798,16.88157,17.007442,16.90673,16.403415,16.064851,15.46969,15.287516,14.992851,14.703145,14.611611,0.038,0.033,0.039,0.043,0.049,0.052,0.039,0.021,0.029,0.018,0.06,0.028
154.469174,-46.391963,0.0,7.927257,0.058568,-2.033686,0.057805,16.908321,17.430376,16.142826,0.063432,0.059369,179.165854,17.033303,17.170798,17.16757,17.276442,17.20673,16.731415,16.426851,15.85769,15.579516,15.335851,15.048145,14.950611,0.056,0.027,0.061,0.055,0.047,0.057,0.042,0.038,0.035,0.015,0.061,0.039
154.481633,-46.376756,1.0,8.258761,0.042385,-2.082358,0.04231,16.172655,16.741634,15.396527,0.154291,0.042838,232.909552,16.389175,16.413275,16.497761,16.60533,16.555179,16.004727,15.703561,15.045068,14.844559,14.547842,14.267359,14.134288,0.03,0.028,0.038,0.052,0.035,0.048,0.035,0.014,0.03,0.017,0.049,0.034
154.491214,-46.390808,1.0,8.252648,0.031343,-2.053028,0.031158,15.889164,16.489668,15.124942,0.237413,0.033017,231.49613,16.237662,16.152707,16.258702,16.409687,16.312248,15.796865,15.480558,14.854115,14.603859,14.313661,14.043127,13.908247,0.035,0.029,0.025,0.023,0.04,0.045,0.034,0.017,0.033,0.017,0.055,0.036
