RA,Dec,pop,Z,err_Z,R,err_R,F378,err_F378,F395,err_F395,F410,err_F410,F430,err_F430,F515,err_F515,F660,err_F660,F861,err_F861,G,err_G,I,err_I,U,err_U,pmra,e_pmra,pmdec,e_pmdec,g,bp,rp,par,e_par,r
6.13285,-72.13881,0.0,14.316,0.021,15.094999999999999,0.013,16.685,0.038,16.84,0.166,16.689999999999998,0.025,16.563000000000002,0.068,15.701,0.01,14.859000000000002,0.014,14.460999999999999,0.028,15.975999999999999,0.012,14.614,0.018,16.479,0.031,5.039261,0.04489,-2.955365,0.040883,15.486854,15.813106,14.762776,0.265777,0.038665,239.819842
6.020674,-72.13591,0.0,12.661,0.018,13.553999999999998,0.012,15.852,0.019,15.602,0.086,15.464,0.01,15.113,0.033,14.251999999999999,0.008,13.293,0.011,12.825,0.028,14.562999999999999,0.008,13.024999999999999,0.019,15.600999999999999,0.017,6.119956,0.046383,-2.098549,0.058423,13.873472,14.359154,13.161822,-0.057419,0.050047,196.689936
5.942146,-72.1338,1.0,12.575999999999999,0.022,13.474,0.013,15.565999999999999,0.018,15.559999999999999,0.08,15.296999999999999,0.016,15.135000000000002,0.035,14.155999999999999,0.007,13.201,0.012,12.774000000000001,0.031,14.468,0.009,12.927,0.019,15.286000000000001,0.015,5.365805,0.018957,-3.015088,0.017605,13.790978,14.28059,13.068193,0.197996,0.017028,209.456449
6.063853,-72.13221,0.0,13.249999999999998,0.02,14.120999999999999,0.013,16.041,0.027,15.864,0.106,15.809,0.017,15.568000000000001,0.043,14.739999999999998,0.009,13.855,0.015,13.413999999999998,0.03,15.038999999999998,0.013,13.588000000000001,0.02,15.885000000000002,0.024,5.198495,0.033101,-3.223518,0.030263,14.436588,14.8386,13.723085,0.154738,0.031447,188.704286
5.983186,-72.1303,0.0,12.752,0.019,13.629000000000001,0.012,15.890999999999998,0.022,15.625999999999998,0.086,15.519,0.01,15.204,0.037,14.283999999999999,0.007,13.356000000000002,0.012,12.883,0.03,14.593,0.01,13.099,0.02,15.562000000000001,0.014,5.56981,0.029725,-3.103592,0.02299,13.953985,14.412045,13.230475,0.19688,0.022893,182.077612
6.029514,-72.12988,1.0,11.633,0.017,12.645,0.011,15.120999999999999,0.014,15.175999999999998,0.068,14.772,0.007,14.504999999999999,0.025,13.453,0.007,12.349,0.011,11.828,0.03,13.767,0.009,12.024999999999999,0.016,15.018,0.013,6.082587,0.019851,-2.778493,0.016098,12.937046,13.530939,12.16554,0.236653,0.016743,175.086804
5.80185,-72.12367,1.0,11.69,0.019,12.684,0.012,14.948999999999998,0.013,15.046,0.06,14.714,0.009,14.461000000000002,0.021,13.463999999999999,0.007,12.393999999999998,0.012,11.886,0.031,13.785999999999998,0.011,12.068000000000001,0.019,14.866,0.01,4.777325,0.015502,-2.655456,0.016865,12.980063,13.567334,12.223395,0.25024,0.015093,288.906712
5.978492,-72.12169,0.0,12.153,0.021,13.086,0.012,15.431999999999999,0.017,15.337,0.077,15.154000000000002,0.009,14.804000000000002,0.028,13.809000000000001,0.007,12.805,0.011,12.318999999999999,0.031,14.140999999999998,0.01,12.526,0.019,15.241,0.017,5.73252,0.018031,-2.812591,0.013689,13.372205,13.910272,12.644344,0.199086,0.01307,153.790062
5.454646,-72.12032,1.0,15.12,0.025,15.878,0.015,17.253999999999998,0.043,17.462,0.215,17.360999999999997,0.035,17.207,0.082,16.451999999999998,0.013,15.622,0.014,15.256,0.029,16.723,0.012,15.415,0.022,17.069,0.034,5.725023,0.041075,-3.294745,0.039054,16.245779,16.644596,15.602401,0.245693,0.034786,644.87191
5.958214,-72.11985,0.0,13.072999999999999,0.021,13.902999999999999,0.014,15.809999999999999,0.022,15.712,0.095,15.606,0.018,15.321000000000002,0.037,14.521999999999998,0.01,13.649000000000001,0.014,13.209,0.027,14.861,0.015,13.393,0.022,15.754000000000001,0.059,6.03161,0.030102,-2.16679,0.0276,14.23885,14.664792,13.52516,0.248845,0.023292,156.57943
